Game No,Player1 Wins,Player2 Wins,Average Nodes,Average Time
0,0,1,72,2.0
1,1,1,141,5.0
2,2,1,210,6.0
3,2,2,263,6.75
4,2,3,294,6.6
5,2,4,265,5.5
6,2,5,240,4.714285714285714
7,2,6,251,5.0
8,2,7,232,4.444444444444445
9,3,7,245,4.6
10,3,8,228,4.181818181818182
11,4,8,219,3.8333333333333335
12,5,8,207,3.5384615384615383
13,5,9,200,3.4285714285714284
14,5,10,190,3.2
15,6,10,203,3.4375
16,7,10,203,3.4705882352941178
17,7,11,202,3.4444444444444446
18,8,11,194,3.263157894736842
19,9,11,186,3.1
20,10,11,178,2.9523809523809526
21,11,11,190,3.0454545454545454
22,11,12,185,2.9130434782608696
23,11,13,193,3.0
24,11,14,188,2.88
25,12,14,185,2.769230769230769
26,13,14,187,2.7777777777777777
27,13,15,192,2.857142857142857
28,14,15,188,2.7586206896551726
29,15,15,183,2.6666666666666665
30,16,15,179,2.5806451612903225
31,17,15,182,2.625
32,17,16,188,2.757575757575758
33,18,16,190,2.7058823529411766
34,19,16,186,2.6285714285714286
35,20,16,184,2.5833333333333335
36,20,17,191,2.7027027027027026
37,21,17,186,2.6315789473684212
38,21,18,186,2.641025641025641
39,22,18,192,2.725
40,22,19,189,2.658536585365854
41,22,20,185,2.5952380952380953
42,23,20,189,2.6511627906976742
43,24,20,193,2.6818181818181817
44,25,20,190,2.6222222222222222
45,25,21,187,2.5652173913043477
46,25,22,185,2.5106382978723403
47,25,23,188,2.5625
48,26,23,185,2.510204081632653
49,26,24,182,2.46
50,27,24,183,2.450980392156863
51,27,25,183,2.4423076923076925
52,28,25,181,2.3962264150943398
53,29,25,184,2.4444444444444446
54,30,25,182,2.4
55,31,25,184,2.4107142857142856
56,31,26,181,2.3859649122807016
57,31,27,184,2.4482758620689653
58,31,28,184,2.406779661016949
59,31,29,185,2.433333333333333
60,31,30,184,2.4262295081967213
61,31,31,185,2.435483870967742
62,31,32,188,2.492063492063492
63,31,33,189,2.5
64,31,34,191,2.523076923076923
65,31,35,195,2.5757575757575757
66,31,36,198,2.626865671641791
67,32,36,196,2.588235294117647
68,33,36,196,2.5652173913043477
69,33,37,199,2.6142857142857143
70,33,38,197,2.5774647887323945
71,33,39,198,2.611111111111111
72,33,40,201,2.6164383561643834
73,34,40,199,2.581081081081081
74,34,41,201,2.5866666666666664
75,35,41,201,2.5921052631578947
76,36,41,203,2.6233766233766236
77,37,41,201,2.58974358974359
78,38,41,204,2.632911392405063
79,38,42,205,2.6625
80,38,43,204,2.6296296296296298
81,39,43,202,2.6097560975609757
82,40,43,203,2.6265060240963853
83,41,43,201,2.5952380952380953
84,41,44,204,2.611764705882353
85,42,44,206,2.6511627906976742
86,43,44,205,2.6206896551724137
87,44,44,203,2.590909090909091
88,44,45,201,2.561797752808989
89,45,45,200,2.533333333333333
90,46,45,199,2.5054945054945055
91,47,45,198,2.489130434782609
92,48,45,199,2.4838709677419355
93,48,46,200,2.4893617021276597
94,48,47,198,2.463157894736842
95,49,47,196,2.4375
96,50,47,198,2.4536082474226806
97,50,48,199,2.489795918367347
98,51,48,201,2.525252525252525
99,52,48,200,2.5
